timestamp,open,high,low,close,volume
2025-03-19 11:00:00+00:00,175.0,181.5,175.0,180.67,29393.535
2025-03-19 12:00:00+00:00,180.67,181.09,176.94,177.61,11815.958
2025-03-19 13:00:00+00:00,177.62,180.14,176.55,179.1,23334.124
2025-03-19 14:00:00+00:00,179.1,181.33,177.91,181.02,11348.846
2025-03-19 15:00:00+00:00,181.01,182.51,180.64,181.82,11078.044
2025-03-19 16:00:00+00:00,181.82,182.35,179.96,180.97,12871.208
2025-03-19 17:00:00+00:00,180.95,181.07,177.83,178.56,12005.395
2025-03-19 18:00:00+00:00,178.57,182.43,176.07,181.21,19072.68
2025-03-19 19:00:00+00:00,181.2,182.3,178.71,180.57,15084.814
2025-03-19 20:00:00+00:00,180.59,182.8,179.61,180.31,5056.365
2025-03-19 21:00:00+00:00,180.3,182.19,180.02,181.65,4002.63
2025-03-19 22:00:00+00:00,181.65,182.9,181.05,181.7,6038.417
2025-03-19 23:00:00+00:00,181.7,184.64,181.2,182.49,10821.87
2025-03-20 00:00:00+00:00,182.5,183.01,178.15,178.61,17703.032
2025-03-20 01:00:00+00:00,178.61,179.12,176.97,177.22,15400.953
2025-03-20 02:00:00+00:00,177.24,178.85,176.84,178.84,3588.467
2025-03-20 03:00:00+00:00,178.85,179.07,177.7,177.79,4535.448
2025-03-20 04:00:00+00:00,177.79,177.99,177.04,177.84,3399.316
2025-03-20 05:00:00+00:00,177.85,178.05,176.38,177.24,1729.471
2025-03-20 06:00:00+00:00,177.23,178.31,176.67,177.3,2272.737
2025-03-20 07:00:00+00:00,177.29,177.55,176.23,176.64,3770.126
2025-03-20 08:00:00+00:00,176.63,178.82,176.16,178.52,3586.811
2025-03-20 09:00:00+00:00,178.55,178.55,177.01,177.25,2907.193
2025-03-20 10:00:00+00:00,177.24,177.39,173.0,174.05,11944.593
2025-03-20 11:00:00+00:00,174.06,175.72,173.63,175.4,7194.58
2025-03-20 12:00:00+00:00,175.39,177.17,174.58,176.68,10335.785
2025-03-20 13:00:00+00:00,176.67,177.17,175.07,176.14,4425.628
2025-03-20 14:00:00+00:00,176.12,179.35,176.05,178.01,11957.928
2025-03-20 15:00:00+00:00,178.02,178.05,174.03,174.18,15157.061
2025-03-20 16:00:00+00:00,174.17,175.2,171.52,172.31,12613.519
2025-03-20 17:00:00+00:00,172.31,174.85,172.08,174.11,16750.366
2025-03-20 18:00:00+00:00,174.12,175.48,173.8,173.85,3373.34
2025-03-20 19:00:00+00:00,173.86,175.1,173.46,174.81,1543.383
2025-03-20 20:00:00+00:00,174.82,175.88,174.47,175.65,1061.272
2025-03-20 21:00:00+00:00,175.66,176.89,175.29,176.39,5703.531
2025-03-20 22:00:00+00:00,176.39,177.55,175.93,177.11,5946.666
2025-03-20 23:00:00+00:00,177.12,178.85,176.67,178.77,8885.567
2025-03-21 00:00:00+00:00,178.78,181.93,178.63,181.92,15326.62
2025-03-21 01:00:00+00:00,181.91,183.32,179.73,180.46,15769.105
2025-03-21 02:00:00+00:00,180.47,181.29,179.36,181.09,5771.266
2025-03-21 03:00:00+00:00,181.09,181.33,179.07,180.04,4895.457
2025-03-21 04:00:00+00:00,180.02,181.22,179.8,179.95,5753.142
2025-03-21 05:00:00+00:00,179.96,180.14,178.44,179.34,6927.74
2025-03-21 06:00:00+00:00,179.33,179.34,178.12,178.59,5578.834
2025-03-21 07:00:00+00:00,178.59,179.34,177.6,179.16,4335.995
2025-03-21 08:00:00+00:00,179.17,179.38,177.07,178.5,4157.601
2025-03-21 09:00:00+00:00,178.5,178.77,176.93,177.33,2333.573
2025-03-21 10:00:00+00:00,177.32,178.41,176.19,177.16,4324.08
2025-03-21 11:00:00+00:00,177.18,177.28,176.36,177.17,2996.44
2025-03-21 12:00:00+00:00,177.17,178.92,175.74,175.92,6872.782
2025-03-21 13:00:00+00:00,175.94,176.66,174.0,175.73,16041.249
2025-03-21 14:00:00+00:00,175.73,176.0,174.09,175.29,7109.013
2025-03-21 15:00:00+00:00,175.29,175.8,174.38,175.09,4210.178
2025-03-21 16:00:00+00:00,175.09,177.52,174.29,177.44,10938.064
2025-03-21 17:00:00+00:00,177.43,178.93,176.81,178.55,4662.282
2025-03-21 18:00:00+00:00,178.54,180.12,177.67,178.98,8497.012
2025-03-21 19:00:00+00:00,179.0,179.43,177.69,179.11,4161.836
2025-03-21 20:00:00+00:00,179.09,180.25,178.89,180.03,5188.28
2025-03-21 21:00:00+00:00,180.03,180.84,178.7,179.07,3876.053
2025-03-21 22:00:00+00:00,179.12,179.22,177.17,178.04,2209.971
2025-03-21 23:00:00+00:00,178.03,179.0,177.77,178.26,1167.18
2025-03-22 00:00:00+00:00,178.27,180.69,178.23,180.34,4325.569
2025-03-22 01:00:00+00:00,180.35,181.5,178.71,179.19,5712.318
2025-03-22 02:00:00+00:00,179.18,181.43,178.95,180.67,3661.908
2025-03-22 03:00:00+00:00,180.66,181.39,180.07,181.0,1727.027
2025-03-22 04:00:00+00:00,181.02,181.87,180.71,181.75,4184.856
2025-03-22 05:00:00+00:00,181.75,181.84,180.4,180.72,4982.612
2025-03-22 06:00:00+00:00,180.72,181.5,180.09,180.55,1993.401
2025-03-22 07:00:00+00:00,180.56,180.83,179.89,179.89,3161.807
2025-03-22 08:00:00+00:00,179.9,181.64,179.77,180.89,2789.027
2025-03-22 09:00:00+00:00,180.9,183.84,180.9,182.51,11188.056
2025-03-22 10:00:00+00:00,182.52,183.02,181.89,182.59,3164.294
2025-03-22 11:00:00+00:00,182.49,182.49,179.0,180.96,7722.235
2025-03-22 12:00:00+00:00,180.95,181.9,180.37,181.22,4982.446
2025-03-22 13:00:00+00:00,181.23,181.75,180.48,181.11,1375.437
2025-03-22 14:00:00+00:00,181.06,181.08,179.41,180.12,3037.033
2025-03-22 15:00:00+00:00,180.1,180.3,179.33,179.85,1863.084
2025-03-22 16:00:00+00:00,179.84,180.47,179.21,179.6,1674.786
2025-03-22 17:00:00+00:00,179.61,180.57,179.56,180.19,2290.246
2025-03-22 18:00:00+00:00,180.19,181.91,179.6,181.51,2505.744
2025-03-22 19:00:00+00:00,181.46,182.21,181.37,181.75,1198.734
2025-03-22 20:00:00+00:00,181.79,182.99,181.46,181.58,4415.986
2025-03-22 21:00:00+00:00,181.6,181.85,180.68,181.11,1407.396
2025-03-22 22:00:00+00:00,181.15,182.17,180.84,181.02,1307.748
2025-03-22 23:00:00+00:00,181.01,181.22,179.26,179.77,3937.524
2025-03-23 00:00:00+00:00,179.78,181.17,179.45,180.45,1507.727
2025-03-23 01:00:00+00:00,180.45,182.0,179.9,181.81,2502.056
2025-03-23 02:00:00+00:00,181.8,183.27,181.04,182.98,4742.912
2025-03-23 03:00:00+00:00,182.98,183.67,182.31,183.34,3510.199
2025-03-23 04:00:00+00:00,183.4,183.58,182.51,182.86,3913.852
2025-03-23 05:00:00+00:00,182.85,183.35,181.25,182.82,4728.025
2025-03-23 06:00:00+00:00,182.82,183.99,182.52,183.71,3489.242
2025-03-23 07:00:00+00:00,183.72,186.08,183.4,184.77,4524.785
2025-03-23 08:00:00+00:00,184.78,185.95,184.25,184.37,4726.593
2025-03-23 09:00:00+00:00,184.39,184.95,183.78,184.09,6734.267
2025-03-23 10:00:00+00:00,184.1,185.38,184.05,184.75,5099.278
2025-03-23 11:00:00+00:00,184.75,186.1,184.52,185.05,4945.408
2025-03-23 12:00:00+00:00,185.04,186.12,184.33,184.41,3996.582
2025-03-23 13:00:00+00:00,184.4,186.53,184.08,186.05,5896.19
2025-03-23 14:00:00+00:00,186.01,186.44,183.23,183.74,7026.935
2025-03-23 15:00:00+00:00,183.74,184.15,182.82,183.44,4820.448
2025-03-23 16:00:00+00:00,183.45,183.52,181.62,181.85,5061.279
2025-03-23 17:00:00+00:00,181.85,183.03,181.28,182.12,5628.598
2025-03-23 18:00:00+00:00,182.11,182.44,181.48,182.07,1022.055
2025-03-23 19:00:00+00:00,182.06,183.35,181.83,183.13,1877.535
2025-03-23 20:00:00+00:00,183.12,184.6,182.63,182.69,3814.215
2025-03-23 21:00:00+00:00,182.66,183.44,181.56,183.2,2814.042
